Def.	Observation type	Obs. point	X	Y	Z	Slice	Active	Name	Time	Value	Weight	Group	Sync. time
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0	0.000000	20.000000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~2	0.100000	20.050000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~3	0.200000	20.099900	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~4	0.500000	20.249500	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~5	1.000000	20.498300	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~6	2.000000	20.993400	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~7	5.000000	22.463400	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~8	10.000000	24.862400	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~9	20.000000	29.476300	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~A	50.000000	41.961000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~B	100.000000	58.925000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~C	200.000000	82.359000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~D	500.000000	110.915000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~E	1000.000000	119.081000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~F	2000.000000	119.984000	1.000000	heagp	0
hea	400	Water_Level	40.000000	40.000000	0.000000	3	1	hea-0~G	10000.000000	120.000000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1	0.000000	50.000000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~I	0.100000	50.050000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~J	0.200000	50.099900	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~K	0.500000	50.249500	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~L	1.000000	50.498300	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~M	2.000000	50.993400	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~N	5.000000	52.463400	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~O	10.000000	54.862400	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~P	20.000000	59.476300	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~Q	50.000000	71.961000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~R	100.000000	88.925000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~S	200.000000	112.359000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~T	500.000000	140.915000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~U	1000.000000	149.081000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~V	2000.000000	149.984000	1.000000	heagp	0
hea	400	Water_Level_2	20.000000	60.000000	0.000000	3	1	hea-1~W	10000.000000	150.000000	1.000000	heagp	0
